time,open,high,low,close,T3
1725632700,545.75,545.79,544.64,544.7,549.378183559887
1725633000,544.69,545.17,544.005,544.13,549.3223208698782
1725633300,544.14,544.44,543.71,544.18,549.2497432986534
1725633600,544.18,544.2,542.59,542.62,549.1581884001121
1725633900,542.62,543.24,542.57,542.7,549.0465985126457
1725634200,542.72,542.86,541.82,541.82,548.9137036316765
1725634500,541.84,542.3499,541.56,542.22,548.7596837761621
1725634800,542.25,545.505,542.13,543.491,548.5868913089071
1725635100,543.52,544.12,542.29,542.37,548.3963705138808
1725635400,542.41,542.9,541.87,542.28,548.1894258257275
1725635700,542.28,542.47,540.96,541.25,547.9663999400414
1725636000,541.29,542.16,541.12,541.6207,547.7286227187155
1725636300,541.58,541.84,541.25,541.5,547.4775550830191
1725636600,541.49,542.65,541.4105,542.07,547.2155765139241
1725636900,542.1,542.15,541.33,541.65,546.9445097825728
1725637200,541.61,541.83,541.1,541.2598,546.6657596996547
1725637500,541.24,541.31,540.52,540.985,546.3805308388532
1725637800,540.97,541.02,540.26,540.92,546.0901105067028
1725638100,540.9115,541.28,540.55,540.58,545.7954891633458
1725638400,540.53,541.03,540.4,540.4799,545.4977066117021
1725638700,540.48,541.07,540.34,540.7287,545.1982438226946
1725639000,540.73,541.03,540.43,540.61,544.8984347923306
1725639300,540.5901,540.74,540.13,540.29,544.599226882001
1725639600,540.31,540.61,540.1,540.5,544.3018982070371
1725639900,540.4716,540.7799,539.84,539.9,544.006959312097
1725640200,539.914,540.81,539.85,540.77,543.7161165048924
1725640500,540.76,541.18,540.17,540.26,543.4302553634102
1725640800,540.26,540.7866,540.08,540.7238,543.1508014389192
1725641100,540.695,540.7467,539.73,539.95,542.8780420259136
1725641400,539.94,540.13,539.66,539.885,542.6122548113931
1725641700,539.88,540.42,539.7,540.135,542.3540808153562
1725642000,540.15,540.69,539.91,540.52,542.1045774281865
1725642300,540.54,541.3395,540.29,541.11,541.8653324086868
1725642600,541.12,541.53,541.03,541.37,541.6378843625107
1725642900,541.36,541.5,541.0305,541.13,541.4230778158972
1725643200,541.08,542,541.07,541.98,541.2225270726094
1725643500,541.97,542,540.8,540.83,541.035940867188
1725643800,540.83,540.96,540.4815,540.7999,540.8629453137287
1725644100,540.79,540.79,540.17,540.3105,540.7025409631929
1725644400,540.31,540.4,539.97,540.15,540.5536680899836
1725644700,540.1239,540.33,539.93,540.0999,540.4153700885499
1725645000,540.1,540.57,539.89,540.45,540.2872678989329
1725645300,540.47,541.05,540.45,540.64,540.1692226889891
